probe chr TSS NAME strand
114 8 132054672 ADCY8 -
115 16 4166186 ADCY9 -
116 18 904944 ADCYAP1 +
117 7 31092076 ADCYAP1R1 +
118 4 2845584 ADD1 +
119 2 70995357 ADD2 -
120 10 111756126 ADD3 +
79747 6 146920101 ADGB +
124 4 100212185 ADH1A -
125 4 100242558 ADH1B -
127 4 100078949 ADH4 -
128 4 100009952 ADH5 -
130 4 100140694 ADH6 -
131 4 100356894 ADH7 -
137872 8 67342420 ADHFE1 +
55256 2 3523507 ADI1 -
149685 20 37209838 ADIG +
9370 3 186560463 ADIPOQ +
51094 1 202927700 ADIPOR1 -
79602 12 1797740 ADIPOR2 +
10974 10 88727949 ADIRF +
132 10 75910960 ADK +
133 11 10326227 ADM +
79924 22 50919985 ADM2 +
199800 19 50191921 ADM5 +
23394 20 49547958 ADNP -
22850 18 77866915 ADNP2 +
84890 10 64564516 ADO +
134 1 203059782 ADORA1 +
135 22 24813847 ADORA2A +
136 17 15848231 ADORA2B +
140 1 112106584 ADORA3 -
83440 15 73078187 ADPGK -
141 3 119298115 ADPRH +
113622 13 114107839 ADPRHL1 -
54936 1 36554476 ADPRHL2 +
56985 17 10600911 ADPRM +
148 8 26724790 ADRA1A -
147 5 159343790 ADRA1B +
146 20 4229721 ADRA1D -
150 10 112836790 ADRA2A +
151 2 96781984 ADRA2B -
152 4 3768075 ADRA2C +
153 10 115803806 ADRB1 +
154 5 148206156 ADRB2 +
155 8 37824483 ADRB3 -
156 11 67033881 ADRBK1 +
157 22 25960816 ADRBK2 +
11047 20 60877149 ADRM1 +
158 22 40742507 ADSL +
159 1 244615436 ADSS -
122622 14 105190523 ADSSL1 +
84830 6 11807279 ADTRP -
165 7 44143960 AEBP1 +
121536 12 19556979 AEBP2 +
64782 15 89164527 AEN +
166 19 3063105 AES -
60312 4 7941653 AFAP1 -
134265 5 148651434 AFAP1L1 +
84632 10 116164515 AFAP1L2 -
4299 4 87856154 AFF1 +
3899 2 100759201 AFF3 -
27125 5 132299326 AFF4 -
10939 18 12377313 AFG3L2 -
173 4 74347400 AFM +
125061 17 76183398 AFMID +
174 4 74296855 AFP +
54812 2 64751465 AFTPH +
175 4 178363657 AGA -
116987 2 236402733 AGAP1 +
116986 12 58135940 AGAP2 -
116988 7 150782918 AGAP3 +
119016 10 46349323 AGAP4 -
729092 10 75457639 AGAP5 -
414189 10 51748078 AGAP6 +
642517 10 48189612 AGAP9 -
123624 15 86685227 AGBL1 +
79841 11 47736941 AGBL2 -
340351 7 134671259 AGBL3 +
84871 1 50489585 AGBL4 -
60509 2 27265232 AGBL5 +
177 6 32152101 AGER -
3267 2 228336868 AGFG1 +
3268 7 100136834 AGFG2 +
55109 5 76325076 AGGF1 +
55750 7 141250989 AGK +
178 1 100315640 AGL +
79814 1 15911605 AGMAT -
392636 7 15601640 AGMO -
26523 1 36335409 AGO1 +
27161 8 141645718 AGO2 -
192669 1 36396319 AGO3 +
192670 1 36273773 AGO4 +
10554 6 32145873 AGPAT1 -
10555 9 139581875 AGPAT2 -
56894 21 45285067 AGPAT3 +
56895 6 161695093 AGPAT4 -
55326 8 6565878 AGPAT5 +
137964 8 41434706 AGPAT6 +
84803 4 84457067 AGPAT9 +
8540 2 178257372 AGPS +
10551 7 16873057 AGR2 -
155465 7 16921611 AGR3 -
375790 1 955503 AGRN +
181 16 67517716 AGRP -
183 1 230850043 AGT -
23287 9 88356944 AGTPBP1 -
185 3 148415571 AGTR1 +
57085 1 11796141 AGTRAP +
189 2 241807896 AGXT +
64902 5 35048198 AGXT2 -
25909 1 247095280 AHCTF1 -
191 20 32899608 AHCY -
10768 1 110527308 AHCYL1 +
23382 7 128864864 AHCYL2 +
27245 1 27930942 AHDC1 -
54806 6 135818914 AHI1 -
79026 11 62323707 AHNAK -
113146 14 105444694 AHNAK2 -
196 7 17338246 AHR +
57491 5 304291 AHRR +
10598 14 77924213 AHSA1 +
130872 2 61404553 AHSA2 +
197 3 186330712 AHSG +
51327 16 31539185 AHSP +
57379 12 8765467 AICDA -
64853 1 222886552 AIDA -
199 6 31582961 AIF1 +
83543 9 133971863 AIF1L +
84883 10 71892690 AIFM2 -
150209 22 21319396 AIFM3 +
51390 6 143381633 AIG1 +
202 6 106959730 AIM1 +
55057 1 26680621 AIM1L -
9447 1 159116886 AIM2 -
9255 4 107236701 AIMP1 +
7965 7 6048876 AIMP2 +
9049 11 67250512 AIP +
23746 17 6338519 AIPL1 -
326 21 45705721 AIRE +
55966 1 4714792 AJAP1 +
84962 14 23451851 AJUBA -
203 9 130640022 AK1 -
204 1 33546597 AK2 -
50808 9 4742043 AK3 -
205 1 65613232 AK4 +
26289 1 77747736 AK5 +
122481 14 96858448 AK7 +
158067 9 135754164 AK8 -
221264 6 110012420 AK9 -
8165 17 55162453 AKAP1 +
11216 17 19881656 AKAP10 -
11215 13 42846289 AKAP11 +
9590 6 151561134 AKAP12 +
11214 15 85923802 AKAP13 +
11217 9 112542769 AKAP2 +
10566 12 4758213 AKAP3 -
9495 14 64932217 AKAP5 +
9472 14 32798479 AKAP6 +
9465 6 131456806 AKAP7 +
10270 19 15490609 AKAP8 -
26993 19 15529952 AKAP8L -
10142 7 91570181 AKAP9 +
56672 11 8932686 AKIP1 +
79647 1 39456895 AKIRIN1 +
55122 6 88411927 AKIRIN2 -
80709 9 117156685 AKNA -
254268 1 109506106 AKNAD1 -
10327 1 46016215 AKR1A1 +
231 7 134144036 AKR1B1 -
57016 7 134212344 AKR1B10 +
441282 7 134233888 AKR1B15 +
1645 10 4934796 AKR1C1 +
1646 10 5060223 AKR1C2 -
8644 10 5077546 AKR1C3 +
1109 10 5237425 AKR1C4 +
6718 7 137687070 AKR1D1 +
83592 10 4828821 AKR1E2 +
8574 1 19638640 AKR7A2 -
22977 1 19615744 AKR7A3 -
207 14 105262088 AKT1 -
84335 19 50381716 AKT1S1 -
208 19 40791443 AKT2 -
10000 1 244014381 AKT3 -
64400 16 53538323 AKTIP -
210 9 116163613 ALAD -
211 3 52232102 ALAS1 +
213 4 74262831 ALB +
214 3 105085753 ALCAM +
126133 19 49956426 ALDH16A1 +
5832 10 97416463 ALDH18A1 -
216 9 75695358 ALDH1A1 -
8854 15 58790065 ALDH1A2 -
220 15 101417919 ALDH1A3 +
219 9 38392661 ALDH1B1 +
10840 3 125916837 ALDH1L1 -
160428 12 105478355 ALDH1L2 -
217 12 112204691 ALDH2 +
218 17 19652256 ALDH3A1 -
224 17 19551449 ALDH3A2 +
221 11 67776048 ALDH3B1 +
222 11 67448671 ALDH3B2 -
8659 1 19229275 ALDH4A1 -
7915 6 24495080 ALDH5A1 +
4329 14 74551196 ALDH6A1 -
501 5 125931110 ALDH7A1 -
64577 6 135271260 ALDH8A1 -
223 1 165668100 ALDH9A1 -
226 16 30064411 ALDOA +
229 9 104198105 ALDOB -
230 17 26904282 ALDOC -
56052 16 5083703 ALG1 +
84920 12 34175216 ALG10 +
144245 12 38710380 ALG10B +
440138 13 52586534 ALG11 +
79087 22 50312106 ALG12 -
199857 1 95538501 ALG14 -
200810 3 125655882 ALG1L -
85365 9 101984238 ALG2 -
10195 3 183967336 ALG3 -
29880 13 37574398 ALG5 -
29929 1 63833261 ALG6 +
79053 11 77850706 ALG8 -
79796 11 111742305 ALG9 -
238 2 30144432 ALK -
8846 14 78174363 ALKBH1 -
121642 12 109531436 ALKBH2 -
221120 11 43902361 ALKBH3 +
54784 7 102105323 ALKBH4 -
54890 17 18086392 ALKBH5 +
84964 19 36505141 ALKBH6 -
84266 19 6372444 ALKBH7 +
91801 11 107436472 ALKBH8 -
55821 2 3705785 ALLC +
7840 2 73612886 ALMS1 +
239 17 6899384 ALOX12 +
242 17 7991021 ALOX12B -
246 17 4545589 ALOX15 -
247 17 7942335 ALOX15B +
240 10 45869661 ALOX5 +
241 13 31309645 ALOX5AP +
59344 17 8022365 ALOXE3 -
248 2 233320833 ALPI +
80216 4 113206665 ALPK1 +
115701 18 56296189 ALPK2 -
57538 15 85359911 ALPK3 +
249 1 21835858 ALPL +
250 2 233243244 ALPP +
251 2 233271553 ALPPL2 +
57679 2 202645912 ALS2 -
259173 3 46735194 ALS2CL -
151254 2 202483901 ALS2CR11 -
130540 2 202222121 ALS2CR12 -
8092 12 85673885 ALX1 +
257 1 110613322 ALX3 -
60529 11 44331716 ALX4 -
10189 17 79849462 ALYREF -
23600 5 34008220 AMACR -
258 4 71457973 AMBN +
259 9 116840752 AMBP -
55626 11 46615675 AMBRA1 -
262 6 111195973 AMD1 +
144193 12 96337071 AMDHD1 +
51005 16 2570358 AMDHD2 +
219287 13 25746426 AMER2 -
205147 2 131513008 AMER3 +
267 16 56459450 AMFR -
268 19 2249308 AMH +
269 12 53817639 AMHR2 +
120425 11 118095809 AMICA1 -
57463 1 110052360 AMIGO1 -
347902 12 47473734 AMIGO2 -
386724 3 49761349 AMIGO3 -
83607 2 128643496 AMMECR1L -
81693 14 103388993 AMN +
196394 12 31882108 AMN1 -
154810 11 94439597 AMOTL1 +
51421 3 134094321 AMOTL2 -
270 1 115238239 AMPD1 -
271 1 110158726 AMPD2 +
272 11 10329860 AMPD3 +
273 7 38671167 AMPH -
275 3 49460186 AMT -
401138 4 71384257 AMTN +
276 1 104197912 AMY1A +
277 1 104239302 AMY1B -
278 1 104293028 AMY1C +
279 1 104159999 AMY2A +
280 1 104096437 AMY2B +
155185 7 2719156 AMZ1 +
51321 17 66243715 AMZ2 +
64682 2 112642267 ANAPC1 -
10393 4 146019693 ANAPC10 -
51529 17 79848666 ANAPC11 +
25847 3 134205558 ANAPC13 -
25906 11 71823826 ANAPC15 -
119504 10 73975787 ANAPC16 +
29882 9 140082989 ANAPC2 -
29945 4 25378835 ANAPC4 +
51433 12 121837699 ANAPC5 -
51434 12 110841535 ANAPC7 -
283 14 21152336 ANG +
23357 14 77292589 ANGEL1 -
90806 1 213189168 ANGEL2 -
284 8 108510283 ANGPT1 -
285 8 6420930 ANGPT2 -
51378 20 896977 ANGPT4 -
9068 1 178840187 ANGPTL1 -
23452 9 129885162 ANGPTL2 -
27329 1 63063158 ANGPTL3 +
51129 19 8428173 ANGPTL4 +
253935 11 101787253 ANGPTL5 -
83854 19 10213472 ANGPTL6 -
10218 1 11249398 ANGPTL7 +
647589 12 133812681 ANHX -
286 8 41754280 ANK1 -
287 4 113739265 ANK2 +
288 10 62493248 ANK3 -
150709 2 190539016 ANKAR +
348094 15 65204101 ANKDD1A +
728780 5 74907284 ANKDD1B +
63926 20 9966774 ANKEF1 +
162282 17 54188319 ANKFN1 +
51479 17 4167274 ANKFY1 -
56172 5 14871887 ANKH -
54882 5 139781399 ANKHD1 +
54467 7 91875548 ANKIB1 +
255239 11 113258513 ANKK1 +
126549 19 17392454 ANKLE1 +
23141 12 133338474 ANKLE2 -
51281 2 241508626 ANKMY1 -
57037 7 16685442 ANKMY2 -
57763 5 72861511 ANKRA2 -
27063 10 92681033 ANKRD1 -
55608 13 111567416 ANKRD10 -
29123 16 89556969 ANKRD11 -
23253 18 9136226 ANKRD12 +
88455 12 110436991 ANKRD13A +
124930 17 27916787 ANKRD13B +
81573 1 70820417 ANKRD13C -
338692 11 67056018 ANKRD13D +
54522 10 5931869 ANKRD16 -
26057 4 74124515 ANKRD17 -
253650 9 38620657 ANKRD18A -
441459 9 33524392 ANKRD18B +
26287 10 99332198 ANKRD2 +
84210 9 67926761 ANKRD20A1 +
441430 9 42368303 ANKRD20A2 +
441425 9 43133544 ANKRD20A3 -
728747 9 69381812 ANKRD20A4 +
118932 10 90611575 ANKRD22 -
200539 2 97523671 ANKRD23 -
170961 19 4183351 ANKRD24 +
22852 10 27389421 ANKRD26 -
84079 19 33167503 ANKRD27 -
23243 3 15901278 ANKRD28 -
147463 18 21242849 ANKRD29 -
91074 10 37414785 ANKRD30A +
374860 18 14728271 ANKRD30B +
256006 5 74532703 ANKRD31 -
84250 5 93954052 ANKRD32 +
341405 12 52281744 ANKRD33 +
651746 5 10564442 ANKRD33B +
284615 1 145470508 ANKRD34A -
340120 5 79866307 ANKRD34B -
390616 15 79575146 ANKRD34C +
148741 1 145549230 ANKRD35 -
375248 2 97779233 ANKRD36 +
400986 2 96657541 ANKRD36C -
353322 4 186317175 ANKRD37 +
51239 2 97523832 ANKRD39 -
91369 17 48785285 ANKRD40 -
338699 11 82904781 ANKRD42 +
91526 2 198175897 ANKRD44 -
339416 1 173639001 ANKRD45 -
157567 8 101572012 ANKRD46 -
54851 11 94226795 ANKRD49 +
57182 4 125633887 ANKRD50 -
283373 12 56652175 ANKRD52 -
79998 2 71205510 ANKRD53 +
129138 22 38245334 ANKRD54 -
79722 5 55529186 ANKRD55 -
22881 6 90142889 ANKRD6 +
140731 20 56803709 ANKRD60 -
100310846 7 6071007 ANKRD61 +
342850 18 12093852 ANKRD62 +
100131244 15 40574787 ANKRD63 -
441869 1 1357149 ANKRD65 -
100287718 6 46714654 ANKRD66 +
56311 7 117854727 ANKRD7 +
122416 14 102976136 ANKRD9 -
23294 6 34857042 ANKS1A +
56899 12 100378432 ANKS1B -
124401 16 4784379 ANKS3 -
257629 16 21244986 ANKS4B +
203286 9 101559247 ANKS6 -
389161 3 149686172 ANKUB1 -
55139 2 220094479 ANKZF1 +
54443 7 36429415 ANLN +
55107 11 69924408 ANO1 +
55129 3 43733086 ANO10 -
57101 12 6055398 ANO2 -
63982 11 26210829 ANO3 +
121601 12 101111304 ANO4 +
203859 11 22214722 ANO5 +
196527 12 45609770 ANO6 +
50636 2 242127924 ANO7 +
57719 19 17445638 ANO8 -
338440 11 442011 ANO9 -
8125 15 69113236 ANP32A -
10541 9 100745643 ANP32B +
23519 12 48866448 ANP32D +
81611 1 150208504 ANP32E -
290 15 90358633 ANPEP -
84168 2 69240310 ANTXR1 +
118429 4 81046608 ANTXR2 -
195977 10 47657581 ANTXRL +
301 9 75766673 ANXA1 +
11199 4 169013666 ANXA10 +
311 10 81965328 ANXA11 -
312 8 124749647 ANXA13 -
302 15 60695082 ANXA2 -
389289 5 43043272 ANXA2R -
306 4 79472673 ANXA3 +
307 2 69871557 ANXA4 +
308 4 122618268 ANXA5 -
309 5 150537443 ANXA6 -
310 10 75173834 ANXA7 -
653145 10 48255253 ANXA8 -
728113 10 47174093 ANXA8L1 +
8416 1 150954493 ANXA9 +
313 7 36764154 AOAH -
26 7 150521715 AOC1 +
314 17 40996617 AOC2 +
8639 17 41003201 AOC3 +
316 2 201450591 AOX1 +
55435 4 113152893 AP1AR +
162 22 29819168 AP1B1 -
164 16 71843104 AP1G1 -
8906 14 24037279 AP1G2 -
8907 19 16308389 AP1M1 +
10053 19 10697991 AP1M2 -
1174 7 100797678 AP1S1 +
130340 2 224702744 AP1S3 -
160 19 50270225 AP2A1 +
161 11 924894 AP2A2 +
163 17 33905065 AP2B1 +
1173 3 183892477 AP2M1 +
1175 19 47354249 AP2S1 -
8546 5 77590579 AP3B1 -
8120 15 83378666 AP3B2 -
8943 19 2164464 AP3D1 -
26985 10 75910821 AP3M1 -
10947 8 42010464 AP3M2 +
1176 5 115177178 AP3S1 +
10239 15 90437574 AP3S2 -
10717 1 114447823 AP4B1 -
23431 15 51200869 AP4E1 +
9179 7 99699172 AP4M1 +
11154 14 31494312 AP4S1 +
91056 11 65548273 AP5B1 -
55745 14 57735627 AP5M1 +
55317 20 3801178 AP5S1 +
9907 7 4815253 AP5Z1 +
317 12 99038919 APAF1 +
320 9 72287222 APBA1 -
321 15 29129629 APBA2 +
9546 19 3761697 APBA3 -
322 11 6440644 APBB1 -
54518 10 26727132 APBB1IP +
323 4 41218731 APBB2 -
10307 5 139973337 APBB3 -
324 5 112043195 APC +
10297 19 1446300 APC2 +
147495 18 10454625 APCDD1 +
164284 20 57090187 APCDD1L -
325 1 159557615 APCS +
327 3 49711435 APEH +
328 14 20923350 APEX1 +
51107 1 150241980 APH1A -
83464 15 63568217 APH1B +
8539 11 43333513 API5 +
51074 11 34938046 APIP -
378708 1 10490159 APITD1 +
200558 2 68694693 APLF +
187 11 57004709 APLNR -
333 19 36358801 APLP1 +
334 11 129939732 APLP2 +
57136 20 24973615 APMAP -
335 11 116708666 APOA1 -
128240 1 156561554 APOA1BP +
336 1 161193421 APOA2 -
337 11 116694022 APOA4 -
116519 11 116663136 APOA5 -
338 2 21266945 APOB -
339 12 7818499 APOBEC1 -
10930 6 41021043 APOBEC2 +
200315 22 39348746 APOBEC3A +
9582 22 39378352 APOBEC3B +
27350 22 39410088 APOBEC3C +
140564 22 39410368 APOBEC3D +
200316 22 39436609 APOBEC3F +
60489 22 39436924 APOBEC3G +
164668 22 39493229 APOBEC3H +
403314 1 183622451 APOBEC4 -
55911 16 28505970 APOBR +
341 19 45417504 APOC1 +
344 19 45449243 APOC2 +
345 11 116700422 APOC3 +
346 19 45445495 APOC4 +
347 3 195311076 APOD -
348 19 45409011 APOE +
319 12 56756607 APOF -
350 17 64252643 APOH -
8542 22 36649056 APOL1 +
23780 22 36636000 APOL2 -
80833 22 36562225 APOL3 -
80832 22 36600886 APOL4 -
80831 22 36113919 APOL5 +
80830 22 36044442 APOL6 +
81575 12 12878851 APOLD1 +
55937 6 31620193 APOM +
84334 14 104029299 APOPT1 +
351 21 27543446 APP -
10513 17 58603580 APPBP2 -
26060 3 57261765 APPL1 +
55198 12 105630016 APPL2 -
353 16 88878352 APRT -
54840 9 33025166 APTX -
358 7 30893010 AQP1 +
89872 1 154293566 AQP10 +
282679 11 77300436 AQP11 +
375318 2 241631262 AQP12A +
653437 2 241622323 AQP12B -
359 12 50344524 AQP2 +
360 9 33447609 AQP3 -
361 18 24445782 AQP4 -
362 12 50355653 AQP5 +
363 12 50360977 AQP6 +
364 9 33402643 AQP7 -
343 16 25227052 AQP8 +
366 15 58430368 AQP9 +
9716 15 35262040 AQR -
116985 11 72504644 ARAP1 -
116984 4 36246131 ARAP2 -
64411 5 141061788 ARAP3 -
23237 8 143696833 ARC -
372 11 118443105 ARCN1 +
